SK_ID_CURR,TARGET
100001,0.13
100005,0.21
100013,0.1
100028,0.13
100038,0.19
100042,0.1
100057,0.09
100065,0.14
100066,0.05
100067,0.18
100074,0.16
100090,0.11
100091,0.14
100092,0.18
100106,0.16
100107,0.23
100109,0.17
100117,0.17
100128,0.17
100141,0.15
100150,0.08
100168,0.17
100169,0.14
100170,0.03
100171,0.12
100172,0.18
100184,0.11
100187,0.15
100212,0.23
100222,0.18
100223,0.13
100232,0.12
100241,0.23
100245,0.09
100253,0.11
100256,0.19
100271,0.18
100278,0.27
100280,0.13
100306,0.26
100311,0.21
100312,0.17
100330,0.22
100331,0.15
100352,0.21
100358,0.16
100367,0.09
100382,0.19
100384,0.14
100385,0.17
100386,0.16
100399,0.13
100404,0.2
100416,0.15
100422,0.18
100426,0.11
100438,0.14
100444,0.23
100445,0.14
100446,0.17
100447,0.12
100450,0.2
100466,0.13
100483,0.07
100484,0.08
100494,0.1
100510,0.19
100512,0.17
100517,0.09
100548,0.1
100551,0.18
100552,0.18
100553,0.11
100561,0.07
100568,0.24
100569,0.11
100591,0.17
100592,0.16
100602,0.19
100607,0.17
100613,0.14
100617,0.16
100618,0.19
100622,0.19
100625,0.23
100677,0.2
100699,0.14
100702,0.31
100711,0.18
100729,0.16
100740,0.21
100744,0.21
100745,0.16
100747,0.15
100751,0.27
100752,0.08
100753,0.28
100754,0.18
100760,0.14
100762,0.19
100763,0.22
100765,0.1
100770,0.09
100772,0.1
100777,0.13
100791,0.11
100792,0.11
100797,0.08
100823,0.22
100826,0.12
100830,0.2
100836,0.3
100872,0.17
100910,0.09
100913,0.23
100918,0.11
100931,0.08
100952,0.13
100953,0.26
100965,0.27
100970,0.1
100982,0.26
100983,0.27
100984,0.09
100987,0.17
100997,0.11
100998,0.2
101002,0.17
101005,0.19
101008,0.25
101020,0.22
101021,0.14
101024,0.26
101025,0.21
101026,0.19
101031,0.08
101041,0.08
101051,0.1
101055,0.12
101056,0.29
101057,0.18
101064,0.13
101079,0.19
101087,0.09
101090,0.15
101092,0.16
101097,0.18
101099,0.07
101107,0.26
101118,0.13
101125,0.19
101126,0.21
101128,0.2
101136,0.13
101140,0.27
101149,0.1
101160,0.17
101169,0.23
101181,0.17
101186,0.16
101190,0.2
101193,0.22
101194,0.19
101198,0.14
101200,0.11
101204,0.05
101211,0.17
101213,0.14
101223,0.09
101225,0.22
101237,0.28
101243,0.2
101244,0.25
101258,0.13
101259,0.23
101268,0.13
101269,0.1
101271,0.13
101279,0.14
101281,0.31
101287,0.07
101292,0.21
101294,0.14
101296,0.08
101297,0.11
101299,0.23
101301,0.17
101305,0.23
101308,0.14
101318,0.15
101327,0.23
101329,0.11
101332,0.17
101337,0.13
101343,0.1
101345,0.11
101346,0.06
101353,0.1
101354,0.22
101355,0.23
101356,0.12
101362,0.08
101363,0.22
101365,0.09
101366,0.09
101367,0.14
101368,0.1
101374,0.16
101380,0.12
101383,0.12
101398,0.14
101399,0.33
101401,0.17
101412,0.16
101426,0.12
101427,0.32
101428,0.23
101429,0.22
101434,0.14
101440,0.21
101448,0.17
101449,0.14
101465,0.15
101467,0.11
101472,0.15
101478,0.24
101497,0.13
101504,0.21
101547,0.09
101548,0.24
101555,0.2
101570,0.17
101572,0.12
101578,0.23
101580,0.19
101588,0.21
101602,0.09
101610,0.25
101614,0.21
101616,0.11
101643,0.11
101644,0.19
101649,0.2
101650,0.1
101665,0.11
101667,0.19
101669,0.14
101674,0.21
101675,0.15
101678,0.14
101682,0.21
101686,0.11
101697,0.27
101700,0.17
101711,0.14
101714,0.13
101715,0.28
101728,0.15
101732,0.17
101757,0.2
101758,0.13
101759,0.16
101762,0.07
101764,0.1
101780,0.29
101784,0.12
101789,0.07
101816,0.18
101819,0.11
101827,0.09
101863,0.18
101867,0.11
101870,0.11
101873,0.31
101878,0.12
101879,0.19
101880,0.13
101887,0.08
101897,0.15
101901,0.13
101903,0.26
101920,0.1
101921,0.13
101922,0.17
101961,0.25
101962,0.15
101971,0.12
101976,0.22
102002,0.21
102005,0.13
102007,0.3
102017,0.13
102019,0.27
102029,0.08
102051,0.25
102052,0.06
102054,0.11
102062,0.12
102067,0.27
102068,0.15
102070,0.16
102090,0.19
102092,0.13
102099,0.21
102100,0.15
102112,0.11
102113,0.15
102122,0.29
102123,0.18
102125,0.07
102126,0.3
102146,0.11
102147,0.27
102151,0.21
102158,0.16
102159,0.17
102162,0.16
102165,0.13
102166,0.17
102174,0.1
102193,0.22
102198,0.09
102205,0.16
102206,0.12
102218,0.18
102221,0.07
102230,0.13
102238,0.14
102248,0.09
102252,0.33
102259,0.21
102262,0.18
102273,0.16
102286,0.27
102293,0.21
102294,0.13
102296,0.17
102298,0.24
102303,0.07
102309,0.2
102315,0.06
102340,0.15
102342,0.2
102344,0.13
102346,0.14
102347,0.18
102374,0.25
102380,0.1
102387,0.24
102393,0.14
102403,0.13
102413,0.12
102414,0.12
102415,0.06
102416,0.2
102439,0.14
102441,0.07
102443,0.12
102444,0.18
102445,0.24
102448,0.16
102449,0.15
