SK_ID_CURR,TARGET
100001,0.15
100005,0.18
100013,0.14
100028,0.13
100038,0.24
100042,0.13
100057,0.1
100065,0.17
100066,0.13
100067,0.19
100074,0.17
100090,0.14
100091,0.26
100092,0.19
100106,0.18
100107,0.18
100109,0.19
100117,0.12
100128,0.17
100141,0.17
100150,0.12
100168,0.13
100169,0.22
100170,0.13
100171,0.19
100172,0.23
100184,0.13
100187,0.18
100212,0.25
100222,0.2
100223,0.17
100232,0.13
100241,0.19
100245,0.16
100253,0.2
100256,0.21
100271,0.13
100278,0.34
100280,0.14
100306,0.28
100311,0.34
100312,0.17
100330,0.28
100331,0.22
100352,0.26
100358,0.21
100367,0.15
100382,0.22
100384,0.23
100385,0.18
100386,0.2
100399,0.11
100404,0.28
100416,0.16
100422,0.21
100426,0.16
100438,0.16
100444,0.24
100445,0.16
100446,0.22
100447,0.11
100450,0.06
100466,0.14
100483,0.13
100484,0.16
100494,0.15
100510,0.2
100512,0.19
100517,0.16
100548,0.08
100551,0.14
100552,0.17
100553,0.16
100561,0.25
100568,0.34
100569,0.13
100591,0.12
100592,0.08
100602,0.29
100607,0.1
100613,0.2
100617,0.2
100618,0.2
100622,0.16
100625,0.28
100677,0.19
100699,0.08
100702,0.28
100711,0.2
100729,0.24
100740,0.22
100744,0.18
100745,0.27
100747,0.19
100751,0.33
100752,0.22
100753,0.26
100754,0.22
100760,0.2
100762,0.13
100763,0.24
100765,0.18
100770,0.19
100772,0.1
100777,0.15
100791,0.12
100792,0.15
100797,0.16
100823,0.16
100826,0.17
100830,0.11
100836,0.38
100872,0.14
100910,0.2
100913,0.35
100918,0.15
100931,0.1
100952,0.19
100953,0.2
100965,0.31
100970,0.09
100982,0.2
100983,0.26
100984,0.13
100987,0.2
100997,0.11
100998,0.18
101002,0.24
101005,0.32
101008,0.29
101020,0.22
101021,0.13
101024,0.26
101025,0.25
101026,0.12
101031,0.09
101041,0.17
101051,0.13
101055,0.19
101056,0.3
101057,0.08
101064,0.09
101079,0.25
101087,0.12
101090,0.13
101092,0.29
101097,0.2
101099,0.04
101107,0.21
101118,0.21
101125,0.2
101126,0.15
101128,0.19
101136,0.18
101140,0.35
101149,0.12
101160,0.13
101169,0.31
101181,0.2
101186,0.13
101190,0.25
101193,0.19
101194,0.28
101198,0.28
101200,0.16
101204,0.17
101211,0.11
101213,0.21
101223,0.05
101225,0.19
101237,0.23
101243,0.18
101244,0.2
101258,0.16
101259,0.29
101268,0.22
101269,0.14
101271,0.27
101279,0.14
101281,0.16
101287,0.14
101292,0.09
101294,0.2
101296,0.13
101297,0.1
101299,0.19
101301,0.18
101305,0.2
101308,0.28
101318,0.09
101327,0.3
101329,0.15
101332,0.13
101337,0.15
101343,0.13
101345,0.1
101346,0.2
101353,0.08
101354,0.33
101355,0.25
101356,0.13
101362,0.18
101363,0.27
101365,0.12
101366,0.2
101367,0.25
101368,0.12
101374,0.21
101380,0.14
101383,0.1
101398,0.1
101399,0.27
101401,0.29
101412,0.21
101426,0.16
101427,0.33
101428,0.3
101429,0.24
101434,0.15
101440,0.3
101448,0.16
101449,0.17
101465,0.25
101467,0.16
101472,0.2
101478,0.19
101497,0.27
101504,0.18
101547,0.26
101548,0.23
101555,0.23
101570,0.12
101572,0.16
101578,0.28
101580,0.3
101588,0.22
101602,0.18
101610,0.33
101614,0.29
101616,0.12
101643,0.12
101644,0.21
101649,0.15
101650,0.28
101665,0.15
101667,0.29
101669,0.14
101674,0.2
101675,0.13
101678,0.18
101682,0.16
101686,0.21
101697,0.32
101700,0.23
101711,0.08
101714,0.07
101715,0.34
101728,0.23
101732,0.11
101757,0.18
101758,0.21
101759,0.19
101762,0.2
101764,0.16
101780,0.3
101784,0.21
101789,0.08
101816,0.17
101819,0.15
101827,0.11
101863,0.17
101867,0.24
101870,0.16
101873,0.32
101878,0.19
101879,0.13
101880,0.1
101887,0.17
101897,0.13
101901,0.13
101903,0.31
101920,0.29
101921,0.09
101922,0.16
101961,0.23
101962,0.2
101971,0.19
101976,0.24
102002,0.19
102005,0.16
102007,0.33
102017,0.13
102019,0.28
102029,0.12
102051,0.25
102052,0.12
102054,0.13
102062,0.17
102067,0.22
102068,0.15
102070,0.2
102090,0.13
102092,0.18
102099,0.16
102100,0.16
102112,0.17
102113,0.1
102122,0.32
102123,0.2
102125,0.1
102126,0.27
102146,0.12
102147,0.28
102151,0.17
102158,0.24
102159,0.13
102162,0.23
102165,0.17
102166,0.14
102174,0.14
102193,0.27
102198,0.1
102205,0.29
102206,0.11
102218,0.21
102221,0.21
102230,0.2
102238,0.18
102248,0.13
102252,0.33
102259,0.18
102262,0.17
102273,0.14
102286,0.23
102293,0.12
102294,0.08
102296,0.23
102298,0.16
102303,0.16
102309,0.28
102315,0.15
102340,0.12
102342,0.15
102344,0.13
102346,0.11
102347,0.16
102374,0.19
102380,0.13
102387,0.18
102393,0.15
102403,0.08
102413,0.16
102414,0.11
102415,0.19
102416,0.24
102439,0.19
102441,0.09
102443,0.16
102444,0.22
102445,0.23
102448,0.16
102449,0.12
102450,0.32
102456,0.07
102458,0.23
102459,0.16
102465,0.12
102470,0.21
102471,0.18
102475,0.18
102476,0.24
102506,0.2
102509,0.1
102519,0.1
102522,0.22
102545,0.18
102549,0.17
102562,0.13
102563,0.11
102568,0.21
102582,0.17
102592,0.12
102597,0.22
102605,0.11
102614,0.19
102617,0.24
102634,0.17
102652,0.14
102655,0.11
102671,0.16
102694,0.18
102701,0.19
102703,0.1
102704,0.14
102713,0.14
102720,0.22
102731,0.19
102733,0.14
102749,0.21
102755,0.11
102763,0.2
102770,0.2
102772,0.25
102799,0.26
102838,0.11
102854,0.1
102862,0.17
102863,0.14
102867,0.16
102868,0.17
102878,0.18
102887,0.13
102898,0.38
102904,0.09
102912,0.2
102919,0.12
102927,0.15
102932,0.16
102933,0.2
102935,0.08
102958,0.14
102969,0.18
102971,0.18
102975,0.09
102979,0.24
102982,0.1
102987,0.33
102989,0.22
102995,0.2
102996,0.18
103000,0.12
