SK_ID_CURR,TARGET
100001,0.42
100005,0.32
100013,0.28
100028,0.32
100038,0.47
100042,0.4
100057,0.31
100065,0.33
100066,0.25
100067,0.42
100074,0.36
100090,0.32
100091,0.45
100092,0.42
100106,0.36
100107,0.37
100109,0.44
100117,0.31
100128,0.35
100141,0.27
100150,0.24
100168,0.31
100169,0.42
100170,0.34
100171,0.34
100172,0.47
100184,0.42
100187,0.25
100212,0.4
100222,0.37
100223,0.32
100232,0.26
100241,0.39
100245,0.26
100253,0.38
100256,0.35
100271,0.31
100278,0.46
100280,0.3
100306,0.46
100311,0.48
100312,0.31
100330,0.48
100331,0.31
100352,0.42
100358,0.39
100367,0.38
100382,0.4
100384,0.29
100385,0.39
100386,0.38
100399,0.3
100404,0.41
100416,0.28
100422,0.46
100426,0.41
100438,0.25
100444,0.36
100445,0.41
100446,0.43
100447,0.31
100450,0.4
100466,0.35
100483,0.28
100484,0.32
100494,0.29
100510,0.36
100512,0.34
100517,0.27
100548,0.34
100551,0.33
100552,0.45
100553,0.39
100561,0.42
100568,0.39
100569,0.34
100591,0.38
100592,0.24
100602,0.31
100607,0.32
100613,0.36
100617,0.37
100618,0.45
100622,0.35
100625,0.45
100677,0.44
100699,0.39
100702,0.49
100711,0.32
100729,0.35
100740,0.43
100744,0.36
100745,0.42
100747,0.39
100751,0.51
100752,0.43
100753,0.43
100754,0.33
100760,0.36
100762,0.47
100763,0.36
100765,0.29
100770,0.39
100772,0.35
100777,0.33
100791,0.36
100792,0.33
100797,0.3
100823,0.32
100826,0.35
100830,0.35
100836,0.4
100872,0.3
100910,0.33
100913,0.46
100918,0.35
100931,0.32
100952,0.33
100953,0.41
100965,0.34
100970,0.34
100982,0.42
100983,0.57
100984,0.34
100987,0.38
100997,0.27
100998,0.37
101002,0.46
101005,0.42
101008,0.42
101020,0.39
101021,0.34
101024,0.4
101025,0.27
101026,0.37
101031,0.33
101041,0.31
101051,0.24
101055,0.33
101056,0.53
101057,0.28
101064,0.4
101079,0.36
101087,0.32
101090,0.31
101092,0.34
101097,0.45
101099,0.34
101107,0.4
101118,0.4
101125,0.36
101126,0.32
101128,0.31
101136,0.33
101140,0.36
101149,0.37
101160,0.38
101169,0.46
101181,0.4
101186,0.28
101190,0.4
101193,0.39
101194,0.4
101198,0.35
101200,0.41
101204,0.35
101211,0.29
101213,0.31
101223,0.32
101225,0.4
101237,0.42
101243,0.35
101244,0.46
101258,0.46
101259,0.37
101268,0.33
101269,0.33
101271,0.38
101279,0.31
101281,0.42
101287,0.24
101292,0.33
101294,0.36
101296,0.45
101297,0.25
101299,0.35
101301,0.35
101305,0.44
101308,0.37
101318,0.26
101327,0.38
101329,0.3
101332,0.49
101337,0.26
101343,0.31
101345,0.24
101346,0.29
101353,0.3
101354,0.34
101355,0.41
101356,0.36
101362,0.4
101363,0.42
101365,0.33
101366,0.31
101367,0.23
101368,0.23
101374,0.32
101380,0.35
101383,0.34
101398,0.35
101399,0.41
101401,0.43
101412,0.29
101426,0.37
101427,0.4
101428,0.52
101429,0.35
101434,0.36
101440,0.3
101448,0.38
101449,0.33
101465,0.38
101467,0.25
101472,0.36
101478,0.33
101497,0.45
101504,0.44
101547,0.29
101548,0.32
101555,0.47
101570,0.37
101572,0.3
101578,0.34
101580,0.38
101588,0.52
101602,0.27
101610,0.49
101614,0.4
101616,0.35
101643,0.35
101644,0.45
101649,0.38
101650,0.38
101665,0.37
101667,0.33
101669,0.36
101674,0.33
101675,0.36
101678,0.36
101682,0.44
101686,0.46
101697,0.53
101700,0.45
101711,0.3
101714,0.29
101715,0.41
101728,0.31
101732,0.36
101757,0.43
101758,0.33
101759,0.43
101762,0.33
101764,0.43
101780,0.49
101784,0.37
101789,0.24
101816,0.41
101819,0.34
101827,0.29
101863,0.39
101867,0.34
101870,0.26
101873,0.41
101878,0.35
101879,0.4
101880,0.26
101887,0.36
101897,0.33
101901,0.27
101903,0.53
101920,0.38
101921,0.39
101922,0.37
101961,0.36
101962,0.38
101971,0.36
101976,0.48
102002,0.32
102005,0.24
102007,0.39
102017,0.3
102019,0.45
102029,0.34
102051,0.36
102052,0.34
102054,0.27
102062,0.36
102067,0.44
102068,0.35
102070,0.33
102090,0.43
102092,0.34
102099,0.42
102100,0.27
102112,0.41
102113,0.3
102122,0.47
102123,0.34
102125,0.32
102126,0.39
102146,0.34
102147,0.5
102151,0.34
102158,0.46
102159,0.33
102162,0.43
102165,0.34
102166,0.35
102174,0.31
102193,0.4
102198,0.41
102205,0.37
102206,0.24
102218,0.36
102221,0.31
102230,0.39
102238,0.36
102248,0.35
102252,0.38
102259,0.33
102262,0.36
102273,0.3
102286,0.47
102293,0.32
102294,0.26
